Cumulative period fertility rates (vertical parallelograms)
Last modified: 31/05/2022
Code Year  ARDY  Cohort     CPFR
AUT  1955   15    1940     0.000
AUT  1955   16    1939     0.001
AUT  1955   17    1938     0.006
AUT  1955   18    1937     0.023
AUT  1955   19    1936     0.066
AUT  1955   20    1935     0.140
AUT  1955   21    1934     0.238
AUT  1955   22    1933     0.357
AUT  1955   23    1932     0.493
AUT  1955   24    1931     0.639
AUT  1955   25    1930     0.784
AUT  1955   26    1929     0.926
AUT  1955   27    1928     1.069
AUT  1955   28    1927     1.206
AUT  1955   29    1926     1.335
AUT  1955   30    1925     1.452
AUT  1955   31    1924     1.564
AUT  1955   32    1923     1.670
AUT  1955   33    1922     1.765
AUT  1955   34    1921     1.849
AUT  1955   35    1920     1.926
AUT  1955   36    1919     1.994
AUT  1955   37    1918     2.054
AUT  1955   38    1917     2.108
AUT  1955   39    1916     2.153
AUT  1955   40    1915     2.189
AUT  1955   41    1914     2.220
AUT  1955   42    1913     2.245
AUT  1955   43    1912     2.262
AUT  1955   44    1911     2.274
AUT  1955   45    1910     2.282
AUT  1955   46    1909     2.286
AUT  1955   47    1908     2.289
AUT  1955   48    1907     2.290
AUT  1955   49    1906     2.290
AUT  1955   50    1905     2.290
AUT  1955   51    1904     2.290
AUT  1955   52    1903     2.290
AUT  1955   53    1902     2.290
AUT  1955   54    1901     2.290
AUT  1955   55    1900     2.290
AUT  1956   12    1944     0.000
AUT  1956   13    1943     0.000
AUT  1956   14    1942     0.000
AUT  1956   15    1941     0.000
AUT  1956   16    1940     0.001
AUT  1956   17    1939     0.007
AUT  1956   18    1938     0.026
AUT  1956   19    1937     0.071
AUT  1956   20    1936     0.147
AUT  1956   21    1935     0.255
AUT  1956   22    1934     0.389
AUT  1956   23    1933     0.537
AUT  1956   24    1932     0.695
AUT  1956   25    1931     0.856
AUT  1956   26    1930     1.014
AUT  1956   27    1929     1.167
AUT  1956   28    1928     1.313
AUT  1956   29    1927     1.453
AUT  1956   30    1926     1.583
AUT  1956   31    1925     1.703
AUT  1956   32    1924     1.814
AUT  1956   33    1923     1.915
AUT  1956   34    1922     2.009
AUT  1956   35    1921     2.091
AUT  1956   36    1920     2.166
AUT  1956   37    1919     2.229
AUT  1956   38    1918     2.287
AUT  1956   39    1917     2.334
AUT  1956   40    1916     2.378
AUT  1956   41    1915     2.411
AUT  1956   42    1914     2.437
AUT  1956   43    1913     2.456
AUT  1956   44    1912     2.470
AUT  1956   45    1911     2.478
AUT  1956   46    1910     2.483
AUT  1956   47    1909     2.485
AUT  1956   48    1908     2.486
AUT  1956   49    1907     2.486
AUT  1956   50    1906     2.486
AUT  1956   51    1905     2.486
AUT  1956   52    1904     2.486
AUT  1956   53    1903     2.486
AUT  1956   54    1902     2.486
AUT  1956   55    1901     2.486
AUT  1957   12    1945     0.000
AUT  1957   13    1944     0.000
AUT  1957   14    1943     0.000
AUT  1957   15    1942     0.000
AUT  1957   16    1941     0.001
AUT  1957   17    1940     0.008
AUT  1957   18    1939     0.027
AUT  1957   19    1938     0.073
AUT  1957   20    1937     0.153
AUT  1957   21    1936     0.263
AUT  1957   22    1935     0.401
AUT  1957   23    1934     0.555
AUT  1957   24    1933     0.716
AUT  1957   25    1932     0.884
AUT  1957   26    1931     1.049
AUT  1957   27    1930     1.210
AUT  1957   28    1929     1.365
AUT  1957   29    1928     1.512
AUT  1957   30    1927     1.647
AUT  1957   31    1926     1.775
AUT  1957   32    1925     1.889
AUT  1957   33    1924     1.991
AUT  1957   34    1923     2.084
AUT  1957   35    1922     2.170
AUT  1957   36    1921     2.245
AUT  1957   37    1920     2.312
AUT  1957   38    1919     2.370
AUT  1957   39    1918     2.422
AUT  1957   40    1917     2.463
AUT  1957   41    1916     2.497
AUT  1957   42    1915     2.522
AUT  1957   43    1914     2.542
AUT  1957   44    1913     2.556
AUT  1957   45    1912     2.564
AUT  1957   46    1911     2.569
AUT  1957   47    1910     2.571
AUT  1957   48    1909     2.572
AUT  1957   49    1908     2.573
AUT  1957   50    1907     2.573
AUT  1957   51    1906     2.573
AUT  1957   52    1905     2.573
AUT  1957   53    1904     2.573
AUT  1957   54    1903     2.573
AUT  1957   55    1902     2.573
AUT  1958   12    1946     0.000
AUT  1958   13    1945     0.000
AUT  1958   14    1944     0.000
AUT  1958   15    1943     0.000
AUT  1958   16    1942     0.001
AUT  1958   17    1941     0.007
AUT  1958   18    1940     0.027
AUT  1958   19    1939     0.075
AUT  1958   20    1938     0.152
AUT  1958   21    1937     0.268
AUT  1958   22    1936     0.405
AUT  1958   23    1935     0.566
AUT  1958   24    1934     0.736
AUT  1958   25    1933     0.909
AUT  1958   26    1932     1.081
AUT  1958   27    1931     1.248
AUT  1958   28    1930     1.405
AUT  1958   29    1929     1.550
AUT  1958   30    1928     1.685
AUT  1958   31    1927     1.810
AUT  1958   32    1926     1.924
AUT  1958   33    1925     2.028
AUT  1958   34    1924     2.124
AUT  1958   35    1923     2.209
AUT  1958   36    1922     2.284
AUT  1958   37    1921     2.351
AUT  1958   38    1920     2.409
AUT  1958   39    1919     2.457
AUT  1958   40    1918     2.496
AUT  1958   41    1917     2.530
AUT  1958   42    1916     2.553
AUT  1958   43    1915     2.572
AUT  1958   44    1914     2.585
AUT  1958   45    1913     2.594
AUT  1958   46    1912     2.598
AUT  1958   47    1911     2.600
AUT  1958   48    1910     2.601
AUT  1958   49    1909     2.602
AUT  1958   50    1908     2.602
AUT  1958   51    1907     2.602
AUT  1958   52    1906     2.602
AUT  1958   53    1905     2.602
AUT  1958   54    1904     2.602
AUT  1958   55    1903     2.602
AUT  1959   12    1947     0.000
AUT  1959   13    1946     0.000
AUT  1959   14    1945     0.000
AUT  1959   15    1944     0.000
AUT  1959   16    1943     0.002
AUT  1959   17    1942     0.009
AUT  1959   18    1941     0.031
AUT  1959   19    1940     0.080
AUT  1959   20    1939     0.162
AUT  1959   21    1938     0.281
AUT  1959   22    1937     0.424
AUT  1959   23    1936     0.590
AUT  1959   24    1935     0.767
AUT  1959   25    1934     0.944
AUT  1959   26    1933     1.127
AUT  1959   27    1932     1.298
AUT  1959   28    1931     1.460
AUT  1959   29    1930     1.614
AUT  1959   30    1929     1.755
AUT  1959   31    1928     1.887
AUT  1959   32    1927     2.005
AUT  1959   33    1926     2.108
AUT  1959   34    1925     2.203
AUT  1959   35    1924     2.287
AUT  1959   36    1923     2.364
AUT  1959   37    1922     2.431
AUT  1959   38    1921     2.488
AUT  1959   39    1920     2.539
AUT  1959   40    1919     2.580
AUT  1959   41    1918     2.614
AUT  1959   42    1917     2.641
AUT  1959   43    1916     2.660
AUT  1959   44    1915     2.672
AUT  1959   45    1914     2.680
AUT  1959   46    1913     2.685
AUT  1959   47    1912     2.687
AUT  1959   48    1911     2.688
AUT  1959   49    1910     2.689
AUT  1959   50    1909     2.689
AUT  1959   51    1908     2.689
AUT  1959   52    1907     2.689
AUT  1959   53    1906     2.689
AUT  1959   54    1905     2.689
AUT  1959   55    1904     2.689
AUT  1960   12    1948     0.000
AUT  1960   13    1947     0.000
AUT  1960   14    1946     0.000
AUT  1960   15    1945     0.000
AUT  1960   16    1944     0.002
AUT  1960   17    1943     0.009
AUT  1960   18    1942     0.033
AUT  1960   19    1941     0.084
AUT  1960   20    1940     0.169
AUT  1960   21    1939     0.286
AUT  1960   22    1938     0.430
AUT  1960   23    1937     0.594
AUT  1960   24    1936     0.767
AUT  1960   25    1935     0.946
AUT  1960   26    1934     1.127
AUT  1960   27    1933     1.303
AUT  1960   28    1932     1.468
AUT  1960   29    1931     1.625
AUT  1960   30    1930     1.768
AUT  1960   31    1929     1.898
AUT  1960   32    1928     2.014
AUT  1960   33    1927     2.122
AUT  1960   34    1926     2.219
AUT  1960   35    1925     2.303
AUT  1960   36    1924     2.378
AUT  1960   37    1923     2.444
AUT  1960   38    1922     2.501
AUT  1960   39    1921     2.549
AUT  1960   40    1920     2.591
AUT  1960   41    1919     2.623
AUT  1960   42    1918     2.648
AUT  1960   43    1917     2.667
AUT  1960   44    1916     2.680
AUT  1960   45    1915     2.687
AUT  1960   46    1914     2.692
AUT  1960   47    1913     2.694
AUT  1960   48    1912     2.695
AUT  1960   49    1911     2.695
AUT  1960   50    1910     2.695
AUT  1960   51    1909     2.695
AUT  1960   52    1908     2.695
AUT  1960   53    1907     2.695
AUT  1960   54    1906     2.695
AUT  1960   55    1905     2.695
AUT  1961   12    1949     0.000
AUT  1961   13    1948     0.000
AUT  1961   14    1947     0.000
AUT  1961   15    1946     0.000
AUT  1961   16    1945     0.002
AUT  1961   17    1944     0.012
AUT  1961   18    1943     0.041
AUT  1961   19    1942     0.098
AUT  1961   20    1941     0.190
AUT  1961   21    1940     0.311
AUT  1961   22    1939     0.458
AUT  1961   23    1938     0.623
AUT  1961   24    1937     0.803
AUT  1961   25    1936     0.991
AUT  1961   26    1935     1.176
AUT  1961   27    1934     1.355
AUT  1961   28    1933     1.524
AUT  1961   29    1932     1.685
AUT  1961   30    1931     1.835
AUT  1961   31    1930     1.969
AUT  1961   32    1929     2.089
AUT  1961   33    1928     2.199
AUT  1961   34    1927     2.298
AUT  1961   35    1926     2.384
AUT  1961   36    1925     2.459
AUT  1961   37    1924     2.528
AUT  1961   38    1923     2.587
AUT  1961   39    1922     2.638
AUT  1961   40    1921     2.680
AUT  1961   41    1920     2.713
AUT  1961   42    1919     2.738
AUT  1961   43    1918     2.758
AUT  1961   44    1917     2.770
AUT  1961   45    1916     2.778
AUT  1961   46    1915     2.782
AUT  1961   47    1914     2.784
AUT  1961   48    1913     2.785
AUT  1961   49    1912     2.786
AUT  1961   50    1911     2.786
AUT  1961   51    1910     2.786
AUT  1961   52    1909     2.786
AUT  1961   53    1908     2.786
AUT  1961   54    1907     2.786
AUT  1961   55    1906     2.786
AUT  1962   12    1950     0.000
AUT  1962   13    1949     0.000
AUT  1962   14    1948     0.000
AUT  1962   15    1947     0.000
AUT  1962   16    1946     0.002
AUT  1962   17    1945     0.011
AUT  1962   18    1944     0.044
AUT  1962   19    1943     0.109
AUT  1962   20    1942     0.205
AUT  1962   21    1941     0.329
AUT  1962   22    1940     0.475
AUT  1962   23    1939     0.639
AUT  1962   24    1938     0.815
AUT  1962   25    1937     1.002
AUT  1962   26    1936     1.186
AUT  1962   27    1935     1.369
AUT  1962   28    1934     1.537
AUT  1962   29    1933     1.701
AUT  1962   30    1932     1.847
AUT  1962   31    1931     1.985
AUT  1962   32    1930     2.108
AUT  1962   33    1929     2.219
AUT  1962   34    1928     2.317
AUT  1962   35    1927     2.402
AUT  1962   36    1926     2.478
AUT  1962   37    1925     2.545
AUT  1962   38    1924     2.601
AUT  1962   39    1923     2.651
AUT  1962   40    1922     2.693
AUT  1962   41    1921     2.727
AUT  1962   42    1920     2.753
AUT  1962   43    1919     2.771
AUT  1962   44    1918     2.784
AUT  1962   45    1917     2.793
AUT  1962   46    1916     2.797
AUT  1962   47    1915     2.799
AUT  1962   48    1914     2.800
AUT  1962   49    1913     2.800
AUT  1962   50    1912     2.801
AUT  1962   51    1911     2.801
AUT  1962   52    1910     2.801
AUT  1962   53    1909     2.801
AUT  1962   54    1908     2.801
AUT  1962   55    1907     2.801
AUT  1963   12    1951     0.000
AUT  1963   13    1950     0.000
AUT  1963   14    1949     0.000
AUT  1963   15    1948     0.000
AUT  1963   16    1947     0.002
AUT  1963   17    1946     0.012
AUT  1963   18    1945     0.044
AUT  1963   19    1944     0.114
AUT  1963   20    1943     0.218
AUT  1963   21    1942     0.348
AUT  1963   22    1941     0.497
AUT  1963   23    1940     0.661
AUT  1963   24    1939     0.834
AUT  1963   25    1938     1.012
AUT  1963   26    1937     1.197
AUT  1963   27    1936     1.381
AUT  1963   28    1935     1.551
AUT  1963   29    1934     1.715
AUT  1963   30    1933     1.863
AUT  1963   31    1932     2.001
AUT  1963   32    1931     2.126
AUT  1963   33    1930     2.239
AUT  1963   34    1929     2.338
AUT  1963   35    1928     2.425
AUT  1963   36    1927     2.504
AUT  1963   37    1926     2.570
AUT  1963   38    1925     2.629
AUT  1963   39    1924     2.678
AUT  1963   40    1923     2.717
AUT  1963   41    1922     2.751
AUT  1963   42    1921     2.775
AUT  1963   43    1920     2.794
AUT  1963   44    1919     2.806
AUT  1963   45    1918     2.814
AUT  1963   46    1917     2.818
AUT  1963   47    1916     2.820
AUT  1963   48    1915     2.821
AUT  1963   49    1914     2.822
AUT  1963   50    1913     2.822
AUT  1963   51    1912     2.822
AUT  1963   52    1911     2.822
AUT  1963   53    1910     2.822
AUT  1963   54    1909     2.822
AUT  1963   55    1908     2.822
AUT  1964   12    1952     0.000
AUT  1964   13    1951     0.000
AUT  1964   14    1950     0.000
AUT  1964   15    1949     0.000
AUT  1964   16    1948     0.002
AUT  1964   17    1947     0.012
AUT  1964   18    1946     0.045
AUT  1964   19    1945     0.117
AUT  1964   20    1944     0.229
AUT  1964   21    1943     0.365
AUT  1964   22    1942     0.514
AUT  1964   23    1941     0.675
AUT  1964   24    1940     0.845
AUT  1964   25    1939     1.019
AUT  1964   26    1938     1.194
AUT  1964   27    1937     1.368
AUT  1964   28    1936     1.538
AUT  1964   29    1935     1.696
AUT  1964   30    1934     1.844
AUT  1964   31    1933     1.982
AUT  1964   32    1932     2.106
AUT  1964   33    1931     2.216
AUT  1964   34    1930     2.314
AUT  1964   35    1929     2.400
AUT  1964   36    1928     2.478
AUT  1964   37    1927     2.544
AUT  1964   38    1926     2.601
AUT  1964   39    1925     2.648
AUT  1964   40    1924     2.687
AUT  1964   41    1923     2.719
AUT  1964   42    1922     2.746
AUT  1964   43    1921     2.765
AUT  1964   44    1920     2.778
AUT  1964   45    1919     2.786
AUT  1964   46    1918     2.790
AUT  1964   47    1917     2.792
AUT  1964   48    1916     2.794
AUT  1964   49    1915     2.794
AUT  1964   50    1914     2.794
AUT  1964   51    1913     2.794
AUT  1964   52    1912     2.794
AUT  1964   53    1911     2.794
AUT  1964   54    1910     2.794
AUT  1964   55    1909     2.794
AUT  1965   12    1953     0.000
AUT  1965   13    1952     0.000
AUT  1965   14    1951     0.000
AUT  1965   15    1950     0.000
AUT  1965   16    1949     0.002
AUT  1965   17    1948     0.010
AUT  1965   18    1947     0.043
AUT  1965   19    1946     0.113
AUT  1965   20    1945     0.229
AUT  1965   21    1944     0.370
AUT  1965   22    1943     0.520
AUT  1965   23    1942     0.681
AUT  1965   24    1941     0.849
AUT  1965   25    1940     1.015
AUT  1965   26    1939     1.185
AUT  1965   27    1938     1.348
AUT  1965   28    1937     1.506
AUT  1965   29    1936     1.661
AUT  1965   30    1935     1.799
AUT  1965   31    1934     1.930
AUT  1965   32    1933     2.049
AUT  1965   33    1932     2.152
AUT  1965   34    1931     2.244
AUT  1965   35    1930     2.326
AUT  1965   36    1929     2.402
AUT  1965   37    1928     2.466
AUT  1965   38    1927     2.521
AUT  1965   39    1926     2.567
AUT  1965   40    1925     2.604
AUT  1965   41    1924     2.635
AUT  1965   42    1923     2.659
AUT  1965   43    1922     2.676
AUT  1965   44    1921     2.688
AUT  1965   45    1920     2.696
AUT  1965   46    1919     2.700
AUT  1965   47    1918     2.702
AUT  1965   48    1917     2.703
AUT  1965   49    1916     2.704
AUT  1965   50    1915     2.704
AUT  1965   51    1914     2.704
AUT  1965   52    1913     2.704
AUT  1965   53    1912     2.704
AUT  1965   54    1911     2.704
AUT  1965   55    1910     2.704
AUT  1966   12    1954     0.000
AUT  1966   13    1953     0.000
AUT  1966   14    1952     0.000
AUT  1966   15    1951     0.000
AUT  1966   16    1950     0.001
AUT  1966   17    1949     0.010
AUT  1966   18    1948     0.042
AUT  1966   19    1947     0.116
AUT  1966   20    1946     0.233
AUT  1966   21    1945     0.385
AUT  1966   22    1944     0.543
AUT  1966   23    1943     0.707
AUT  1966   24    1942     0.875
AUT  1966   25    1941     1.041
AUT  1966   26    1940     1.203
AUT  1966   27    1939     1.360
AUT  1966   28    1938     1.510
AUT  1966   29    1937     1.655
AUT  1966   30    1936     1.792
AUT  1966   31    1935     1.916
AUT  1966   32    1934     2.031
AUT  1966   33    1933     2.131
AUT  1966   34    1932     2.224
AUT  1966   35    1931     2.303
AUT  1966   36    1930     2.374
AUT  1966   37    1929     2.436
AUT  1966   38    1928     2.488
AUT  1966   39    1927     2.533
AUT  1966   40    1926     2.567
AUT  1966   41    1925     2.597
AUT  1966   42    1924     2.619
AUT  1966   43    1923     2.637
AUT  1966   44    1922     2.648
AUT  1966   45    1921     2.655
AUT  1966   46    1920     2.659
AUT  1966   47    1919     2.661
AUT  1966   48    1918     2.662
AUT  1966   49    1917     2.662
AUT  1966   50    1916     2.663
AUT  1966   51    1915     2.663
AUT  1966   52    1914     2.663
AUT  1966   53    1913     2.663
AUT  1966   54    1912     2.663
AUT  1966   55    1911     2.663
AUT  1967   12    1955     0.000
AUT  1967   13    1954     0.000
AUT  1967   14    1953     0.000
AUT  1967   15    1952     0.000
AUT  1967   16    1951     0.001
AUT  1967   17    1950     0.011
AUT  1967   18    1949     0.044
AUT  1967   19    1948     0.117
AUT  1967   20    1947     0.235
AUT  1967   21    1946     0.387
AUT  1967   22    1945     0.557
AUT  1967   23    1944     0.723
AUT  1967   24    1943     0.891
AUT  1967   25    1942     1.055
AUT  1967   26    1941     1.216
AUT  1967   27    1940     1.370
AUT  1967   28    1939     1.516
AUT  1967   29    1938     1.651
AUT  1967   30    1937     1.782
AUT  1967   31    1936     1.903
AUT  1967   32    1935     2.013
AUT  1967   33    1934     2.111
AUT  1967   34    1933     2.201
AUT  1967   35    1932     2.279
AUT  1967   36    1931     2.346
AUT  1967   37    1930     2.407
AUT  1967   38    1929     2.458
AUT  1967   39    1928     2.499
AUT  1967   40    1927     2.533
AUT  1967   41    1926     2.561
AUT  1967   42    1925     2.582
AUT  1967   43    1924     2.597
AUT  1967   44    1923     2.608
AUT  1967   45    1922     2.615
AUT  1967   46    1921     2.618
AUT  1967   47    1920     2.620
AUT  1967   48    1919     2.621
AUT  1967   49    1918     2.621
AUT  1967   50    1917     2.621
AUT  1967   51    1916     2.621
AUT  1967   52    1915     2.621
AUT  1967   53    1914     2.621
AUT  1967   54    1913     2.621
AUT  1967   55    1912     2.621
AUT  1968   12    1956     0.000
AUT  1968   13    1955     0.000
AUT  1968   14    1954     0.000
AUT  1968   15    1953     0.000
AUT  1968   16    1952     0.002
AUT  1968   17    1951     0.008
AUT  1968   18    1950     0.042
AUT  1968   19    1949     0.116
AUT  1968   20    1948     0.236
AUT  1968   21    1947     0.393
AUT  1968   22    1946     0.568
AUT  1968   23    1945     0.747
AUT  1968   24    1944     0.912
AUT  1968   25    1943     1.076
AUT  1968   26    1942     1.233
AUT  1968   27    1941     1.382
AUT  1968   28    1940     1.524
AUT  1968   29    1939     1.655
AUT  1968   30    1938     1.777
AUT  1968   31    1937     1.891
AUT  1968   32    1936     1.996
AUT  1968   33    1935     2.094
AUT  1968   34    1934     2.178
AUT  1968   35    1933     2.253
AUT  1968   36    1932     2.320
AUT  1968   37    1931     2.378
AUT  1968   38    1930     2.426
AUT  1968   39    1929     2.468
AUT  1968   40    1928     2.501
AUT  1968   41    1927     2.528
AUT  1968   42    1926     2.548
AUT  1968   43    1925     2.563
AUT  1968   44    1924     2.572
AUT  1968   45    1923     2.579
AUT  1968   46    1922     2.583
AUT  1968   47    1921     2.585
AUT  1968   48    1920     2.586
AUT  1968   49    1919     2.586
AUT  1968   50    1918     2.586
AUT  1968   51    1917     2.587
AUT  1968   52    1916     2.587
AUT  1968   53    1915     2.587
AUT  1968   54    1914     2.587
AUT  1968   55    1913     2.587
AUT  1969   12    1957     0.000
AUT  1969   13    1956     0.000
AUT  1969   14    1955     0.000
AUT  1969   15    1954     0.000
AUT  1969   16    1953     0.001
AUT  1969   17    1952     0.009
AUT  1969   18    1951     0.039
AUT  1969   19    1950     0.116
AUT  1969   20    1949     0.236
AUT  1969   21    1948     0.391
AUT  1969   22    1947     0.558
AUT  1969   23    1946     0.731
AUT  1969   24    1945     0.905
AUT  1969   25    1944     1.060
AUT  1969   26    1943     1.207
AUT  1969   27    1942     1.349
AUT  1969   28    1941     1.481
AUT  1969   29    1940     1.606
AUT  1969   30    1939     1.719
AUT  1969   31    1938     1.825
AUT  1969   32    1937     1.924
AUT  1969   33    1936     2.014
AUT  1969   34    1935     2.093
AUT  1969   35    1934     2.167
AUT  1969   36    1933     2.231
AUT  1969   37    1932     2.288
AUT  1969   38    1931     2.335
AUT  1969   39    1930     2.375
AUT  1969   40    1929     2.409
AUT  1969   41    1928     2.434
AUT  1969   42    1927     2.454
AUT  1969   43    1926     2.467
AUT  1969   44    1925     2.476
AUT  1969   45    1924     2.482
AUT  1969   46    1923     2.485
AUT  1969   47    1922     2.487
AUT  1969   48    1921     2.488
AUT  1969   49    1920     2.488
AUT  1969   50    1919     2.488
AUT  1969   51    1918     2.488
AUT  1969   52    1917     2.488
AUT  1969   53    1916     2.488
AUT  1969   54    1915     2.488
AUT  1969   55    1914     2.488
AUT  1970   12    1958     0.000
AUT  1970   13    1957     0.000
AUT  1970   14    1956     0.000
AUT  1970   15    1955     0.000
AUT  1970   16    1954     0.002
AUT  1970   17    1953     0.010
AUT  1970   18    1952     0.043
AUT  1970   19    1951     0.111
AUT  1970   20    1950     0.226
AUT  1970   21    1949     0.369
AUT  1970   22    1948     0.530
AUT  1970   23    1947     0.692
AUT  1970   24    1946     0.850
AUT  1970   25    1945     0.999
AUT  1970   26    1944     1.134
AUT  1970   27    1943     1.261
AUT  1970   28    1942     1.383
AUT  1970   29    1941     1.497
AUT  1970   30    1940     1.600
AUT  1970   31    1939     1.693
AUT  1970   32    1938     1.779
AUT  1970   33    1937     1.859
AUT  1970   34    1936     1.934
AUT  1970   35    1935     1.999
AUT  1970   36    1934     2.057
AUT  1970   37    1933     2.108
AUT  1970   38    1932     2.153
AUT  1970   39    1931     2.190
AUT  1970   40    1930     2.220
AUT  1970   41    1929     2.244
AUT  1970   42    1928     2.262
AUT  1970   43    1927     2.274
